cluster,top_words
0,"automobilių, eismo, aptariama, lietuvoje, transporto, vilniuje, vairuotojai, elektromobilių, vairavimo, daugiau"
1,"lietuvos, komanda, rezultatu, vietą, nugalėjo, nepaisant, pasaulio, aptariama, treneris, žalgiris"
2,"jav, karių, lietuvos, prekybos, trumpas, trumpo, aptariama, pabradės, prezidentas, kariai"
3,"lietuvos, aptariama, rusijos, eurų, lietuvoje, proc, metų, ukrainos, daugiau, mln"
4,"muzikos, lietuvos, metų, dalijasi, aptariama, pabrėždamas, kuriame, teatro, spektaklis, sulaukė"
5,"lietuvos, aptariama, kurioje, filmas, metų, horoskopai, lietuvoje, svarbą, siūlo, balandžio"
6,"aptariama, dalijasi, pabrėždama, pasidalijo, patirtimi, pabrėždamas, laidoje, svarbą, lietuvos, instagram"
7,"sveikatos, sumažinti, aptariama, svarbu, lietuvoje, svarbą, ypač, riziką, gydymo, padėti"
